location;source;target;id;fuzzy;context;translator_comments;developer_comments
;Reload Page;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.Reload.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Select Location Bar;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.SelectLocationBar.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Show Next Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.ShowNextTab.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Show Previous Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Hotkeys.ShowPreviousTab.DiscoveryTitle;Label to display in the Discoverability overlay for keyboard shortcuts;
;Log Out;Abmelden;;True;Shared/Supporting Files/en.lproj/Localizable.strings///Log Out;Button in settings screen to disconnect from your account Disconnect button in the 'log out firefox account' alert;
;Log Out?;Abmelden?;;True;Shared/Supporting Files/en.lproj/Localizable.strings///Log Out?;Title of the 'log out firefox account' alert;
;Logins;Zugangsdaten;;True;Shared/Supporting Files/en.lproj/Localizable.strings///Logins;Toggle logins syncing setting;
;Don‚Äôt Save;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.DontSave.Button;Button to not save the user's password;
;Save login %1$@ for %2$@?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.PromptSaveLogin.Title;Prompt for saving a login. The first parameter is the username being saved. The second parameter is the hostname of the site.;
;Save password for %@?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.PromptSavePassword.Title;Prompt for saving a password with no username. The parameter is the hostname of the site.;
;Update login %1$@ for %2$@?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.PromptUpdateLogin.Title;Prompt for updating a login. The first parameter is the username for which the password will be updated for. The second parameter is the hostname of the site.;
;Save Login;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.SaveLogin.Button;Button to save the user's password;
;Update;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///LoginsHelper.Update.Button;Button to update the user's password;
;Bookmark Added;Favorit hinzugef¸gt;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.AddBookmark.Confirm;Toast displayed to the user after a bookmark has been added.;
;Added To Reading List;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.AddToReadingList.Confirm;Toast displayed to the user after adding the item to their reading list.;
;Copy Address;Link-Adresse kopieren;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.Copy.Title;The title for the button that lets you copy the url from the location bar.;
;URL Copied To Clipboard;Link-Adresse in Zwischenablage kopiert;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.CopyURL.Confirm;Toast displayed to user after copy url pressed.;
;Enable Night Mode;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.NightModeTurnOn.Label;Label for the button, displayed in the menu, turns on night mode.;
;Hide Images;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.NoImageModeHideImages.Label;Label for the button, displayed in the menu, hides images on the webpage when pressed.;
;Paste;Einf¸gen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.Paste.Title;The title for the button that lets you paste into the location bar;
;Paste & Go;Einf¸gen und Los;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.PasteAndGo.Title;The title for the button that lets you paste and go to a URL;
;Reload With Tracking Protection;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.ReloadWithTrackingProtection.Title;Label for the button, displayed in the menu, used to reload the current website with Tracking Protection enabled;
;Reload Without Tracking Protection;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.ReloadWithoutTrackingProtection.Title;Label for the button, displayed in the menu, used to reload the current website without Tracking Protection;
;Bookmark Removed;Favorit entfernt;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.RemoveBookmark.Confirm;Toast displayed to the user after a bookmark has been removed.;
;Tracking Protection;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtection.Title;Label for the button, displayed in the menu, used to get more info about Tracking Protection;
;Ad trackers;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionAdsBlocked.Title;The title that shows the number of Analytics scripts blocked;
;Analytic trackers;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionAnalyticsBlocked.Title;The title that shows the number of Analytics scripts blocked;
;Firefox is blocking parts of the page that may track your browsing.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionBlocking.Description;Description of the Tracking protection menu when TP is blocking parts of the page;
;Block online trackers;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionBlockingDisabled.Description;The description of the Tracking Protection menu item when tracking is enabled;
;Content trackers;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionContentBlocked.Title;The title that shows the number of content scripts blocked;
;Disable for this site;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionDisable.Title;The button that disabled TP for a site.;
;Tracking Protection is now off for this site.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionDisabled.Title;The confirmation toast once tracking protection has been disabled;
;Enable Tracking Protection;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionEnable.Title;A button to enable tracking protection inside the menu.;
;Tracking Protection is now on for this site.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionEnabled.Title;The confirmation toast once tracking protection has been enabled;
;Learn more about how Tracking Protection blocks online trackers that collect your browsing data across multiple websites.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionMoreInfo.Description;more info about what tracking protection is about;
;No tracking elements detected on this page.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionNoBlocking.Description;The description of the Tracking Protection menu item when no scripts are blocked but tracking protection is enabled.;
;The site includes elements that may track your browsing. You have disabled protection.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionOption.WhiteListOnDescription;label for the menu item to show when the website is whitelisted from blocking trackers.;
;Social trackers;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionSocialBlocked.Title;The title that shows the number of social scripts blocked;
;Total trackers blocked;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionTotalBlocked.Title;The title that shows the total number of scripts blocked;
;Enable for this site;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Menu.TrackingProtectionWhitelistRemove.Title;label for the menu item that lets you remove a website from the tracking protection whitelist;
;OK;OK;;True;Shared/Supporting Files/en.lproj/Localizable.strings///OK;OK button;
;Open Tabs;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Open Tabs;Toggle tabs syncing setting;
;Firefox cannot open the page because it has an invalid address.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///OpenURL.Error.Message;The message displayed to a user when they try to open a URL that cannot be handled by Firefox, or any external app.;
;Cannot Open Page;Seite kann nicht geˆffnet werden;;False;Shared/Supporting Files/en.lproj/Localizable.strings///OpenURL.Error.Title;Title of the message shown when the user attempts to navigate to an invalid link.;
;Close;Schlieﬂen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///PhotonMenu.close;Button for closing the menu action sheet;
;Reader Mode available;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ReaderMode.Available.VoiceOverAnnouncement;Accessibility message e.g. spoken by VoiceOver when Reader Mode becomes available.;
;Recently Closed;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///RecentlyClosedTabsPanel.Title;Title for the Recently Closed Tabs Panel;
;Reopen Closed Tab;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ReopenClosedTab.KeyCodeTitle;Hardware shortcut to reopen the last closed tab, from the tab or the tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Reset text size;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Reset text size;Accessibility label for button resetting font size in display settings of reader mode;
;OK;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ScanQRCode.Error.OK.Button;OK button to dismiss the error prompt.;
;Align QR code within frame to scan;QR-Code am Rahmen ausrichten um zu scannen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ScanQRCode.Instructions.Label;Text for the instructions label, displayed in the QR scanner view;
;The data is invalid;Ung¸ltige Daten;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ScanQRCode.InvalidDataError.Message;Text of the prompt that is shown to the user when the data is invalid;
;Please allow Firefox to access your device‚Äôs camera in ‚ÄòSettings‚Äô -> ‚ÄòPrivacy‚Äô -> ‚ÄòCamera‚Äô.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ScanQRCode.PermissionError.Message;Text of the prompt user to setup the camera authorization.;
;Scan QR Code;QR-Code scannen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ScanQRCode.View.Title;Title for the QR code scanner view.;
;The new search engine will appear in the quick search bar.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.AddMessage;The message that asks the user to Add the search provider explaining where the search engine will appear;
;Added Search engine!;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.AddSuccess;The success message that appears after a user sucessfully adds a new search engine;
;Add Search Provider?;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.AddTitle;The title that asks the user to Add the search provider;
;Cancel;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.Cancel;The cancel button if you do not want to add a search engine.;
;A search engine with this title or URL has already been added.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.DuplicateErrorMessage;A message explaining fault in custom search engine form.;
;Failed;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.DuplicateErrorTitle;A title stating that we failed to add custom search engine.;
;The search provider could not be added.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.FailedMessage;A title explaining that we failed to add a search engine;
;Failed;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.FailedTitle;A title explaining that we failed to add a search engine;
;Please fill all fields correctly.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.FormErrorMessage;A message explaining fault in custom search engine form.;
;Failed;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.FormErrorTitle;A title stating that we failed to add custom search engine.;
;OK;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Search.ThirdPartyEngines.OK;The confirmation button;
;Cancel;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SendTo.Cancel.Button;Button title for cancelling SendTo screen;
;Only HTTP and HTTPS links can be shared.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SendTo.Error.Message;Message in error prompt explaining why the URL is invalid.;
;OK;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SendTo.Error.OK.Button;OK button to dismiss the error prompt.;
;The link you are trying to share cannot be shared.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SendTo.Error.Title;Title of error prompt displayed when an invalid URL is shared.;
;Add to Reading List;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab.AddToReadingListAction.Title;Label for an action used to add one or more tabs recieved from a notification to the reading list.;
;Bookmark;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab.BookmarkAction.title;Label for an action used to bookmark one or more tabs from a notification.;
;Tap to begin;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab.NoTabArrivingNotification.body;Body of notification received after a spurious message from FxA has been received.;
;Firefox Sync;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab.NoTabArrivingNotification.title;Title of notification received after a spurious message from FxA has been received.;
;View;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab.ViewAction.title;Label for an action used to view one or more tabs from a notification.;
;New tab arrived from another device.;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab_TabArrivingNotification_NoDevice_body;Body of notification shown when the device is sent one or more tabs from an unnamed device.;
;Tab received;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab_TabArrivingNotification_NoDevice_title;Title of notification shown when the device is sent one or more tabs from an unnamed device.;
;New tab arrived in %@;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab_TabArrivingNotification_WithDevice_body;Body of notification shown when the device is sent one or more tabs from the named device. %@ is the placeholder for the app name.;
;Tab received from %@;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SentTab_TabArrivingNotification_WithDevice_title;Title of notification shown when the device is sent one or more tabs from the named device. %@ is the placeholder for the device name. This device name will be localized by that device.;
;Add Search Engine;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine;The button text in Search Settings that opens the Custom Search Engine view.;
;Save;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.SaveButtonText;The text on the Save button when saving a custom search engine;
;Add Search Engine;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.Title;The title of the Custom Search Engine view.;
;Title;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.TitleLabel;The title for the field which sets the title for a custom search engine.;
;Search Engine;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.TitlePlaceholder;The placeholder for Title Field when saving a custom search engine.;
;URL;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.URLLabel;The title for URL Field;
;URL (Replace Query with %s);;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.AddCustomEngine.URLPlaceholder;The placeholder for URL Field when saving a custom search engine;
;Clear Private Data;Private Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.ClearPrivateData.Clear.Button;Button in settings that clears private data for the selected items.;
;Clear Private Data;Private Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.ClearPrivateData.SectionName;Label used as an item in Settings. When touched it will open a dialog prompting the user to make sure they want to clear all of their private data.;
;Clear Private Data;Private Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.ClearPrivateData.Title;Title displayed in header of the setting panel.;
;Always;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.DNT.OptionAlwaysOn;DNT Settings option for always on;
;Only when using Tracking Protection;Tracking Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.DNT.OptionOnWithTP;DNT Settings option for only turning on when Tracking Protection is also on;
;Send websites a Do Not Track signal that you don‚Äôt want to be tracked;be Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.DNT.Title;DNT Settings title;
;Firefox will stop syncing with your account, but won‚Äôt delete any of your browsing data on this device.;this Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Disconnect.Body;Body of the alert when prompting the user asking to disconnect.;
;Disconnect Sync;Disconnect Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Disconnect.Button;Button displayed at the bottom of settings page allowing users to Disconnect from FxA;
;Cancel;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Disconnect.CancelButton;Cancel action button in alert when user is prompted for disconnect;
;Disconnect;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Disconnect.DestructiveButton;Destructive action button in alert when user is prompted for disconnect;
;Disconnect Sync?;Disconnect Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Disconnect.Title;Title of the alert when prompting the user asking to disconnect.;
;Device Name;Device Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.FxA.DeviceName;Label used for the device name settings section.;
;Sync Settings;Sync Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.FxA.Sync.SectionName;Label used as a section title in the Firefox Accounts Settings screen.;
;Firefox Account;Firefox Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.FxA.Title;Title displayed in header of the FxA settings panel.;
;General;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.General.SectionName;General settings section title;
;Clear;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.Clear.Button;Button in settings to clear the home page.;
;Homepage;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.SectionName;Label used as an item in Settings. When touched it will open a dialog to configure the home page and its uses.;
;Homepage Settings;Homepage Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.Title;Title displayed in header of the setting panel.;
;Enter a webpage;a Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.URL.Placeholder;Placeholder text in the homepage setting when no homepage has been set.;
;Current Homepage;Current Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.URL.Title;Title of the setting section containing the URL of the current home page.;
;Use Copied Link;Copied Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.UseCopiedLink.Button;Button in settings to use the current link on the clipboard as home page.;
;Use Current Page;Current Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.UseCurrent.Button;Button in settings to use the current page as home page.;
;Use Default;Use Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.HomePage.UseDefault.Button;Button in settings to use the default home page. If no default is set, then this button isn't shown.;
;When you open a New Tab:;New Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Description;A description in settings of what the new tab choice means;
;Additional Content;Additional Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.ASTitle;The title of the section in newtab that lets you modify the topsites panel;
;Show a Blank Page;Blank Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.BlankPage;Option in settings to show a blank page when you open a new tab;
;Show your Bookmarks;your Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.Bookmarks;Option in settings to show bookmarks when you open a new tab;
;Recent Bookmarks;Recent Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.HighlightsBookmarks;Option in the settings to turn off recent bookmarks in the Highlights section;
;Visited;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.HighlightsHistory;Option in settings to turn off history in the highlights section;
;Show your History;your Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.History;Option in settings to show history when you open a new tab;
;Show your Homepage;your Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.HomePage;Option in settings to show your homepage when you open a new tab;
;Recommended by Pocket;by Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.Pocket;Option in settings to turn on off pocket recommendations;
;Show your Reading List;Reading Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.ReadingList;Option in settings to show reading list when you open a new tab;
;Show your Top Sites;Top Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Option.TopSites;Option in settings to show top sites when you open a new tab;
;New Tab;New Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.SectionName;Label used as an item in Settings. When touched it will open a dialog to configure the new tab behaviour.;
;New Tab Settings;Tab Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.NewTab.Title;Title displayed in header of the setting panel.;
;When Opening Firefox;Opening Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.OfferClipboardBar.Status;Description displayed under the ‚ÄùOffer to Open Copied Link‚Äù option. See https://bug1223660.bmoattachments.org/attachment.cgi?id=8898349;
;Offer to Open Copied Links;Copied Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.OfferClipboardBar.Title;Title of setting to enable the Go to Copied URL feature. See https://bug1223660.bmoattachments.org/attachment.cgi?id=8898349;
;Open mail links with;links Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.OpenWith.PageTitle;Title for Open With Settings;
;Mail App;Mail Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.OpenWith.SectionName;Label used as an item in Settings. When touched it will open a dialog to configure the open with (mail links) behaviour.;
;Done;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Search.Done.Button;Button displayed at the top of the search settings.;
;Edit;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.Search.Edit.Button;Button displayed at the top of the search settings.;
;Learn More.;Learn Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.SendUsage.Link;title for a link that explains how mozilla collects telemetry;
;Mozilla strives to only collect what we need to provide and improve Firefox for everyone.;for Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.SendUsage.Message;A short description that explains why mozilla collects usage data.;
;Send Usage Data;Usage Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.SendUsage.Title;The title for the setting to send usage data.;
;You can choose which list Firefox will use to block Web elements that may track your browsing activity.;browsing Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtection.BlockListsHeader;Header description for tracking protection options section where Basic/Strict block list can be selected;
;Block Lists;Block Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtection.BlockListsTitle;Title for tracking protection options section where Basic/Strict block list can be selected;
;Tracking Protection;Tracking Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtection.SectionName;Row in top-level of settings that gets tapped to show the tracking protection settings detail view.;
;Basic (Recommended);Basic Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.BlockListBasic;Tracking protection settings option for using the basic blocklist.;
;Allows some trackers so websites function properly.;function Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.BlockListBasicDescription;Tracking protection settings option description for using the basic blocklist.;
;Strict;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.BlockListStrict;Tracking protection settings option for using the strict blocklist.;
;Blocks known trackers. Some websites may not function properly.;function Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.BlockListStrictDescription;Tracking protection settings option description for using the strict blocklist.;
;Tracking is the collection of your browsing data across multiple websites.;multiple Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.EnabledStateFooterLabel;Description label shown on tracking protection options screen.;
;Enable;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.EnabledStateHeaderLabel;Description label shown at the top of tracking protection options screen.;
;Normal Browsing Mode;Browsing Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.OnInNormalBrowsingLabel;Settings option to specify that Tracking Protection is on only in Private Browsing mode.;
;Private Browsing Mode;Browsing Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TrackingProtectionOption.OnInPrivateBrowsingLabel;Settings option to specify that Tracking Protection is on only in Private Browsing mode.;
;Troubleshoot;e Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Settings.TroubleShootSync.Title;Title of link to help page to find out how to solve Sync issues;
;Cancel;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///ShareTo.Cancel.Button;Button title for cancelling Share screen;
;Normal Browsing Mode;Browsing Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SwitchToNonPBM.KeyCodeTitle;Hardware shortcut for non-private tab or tab. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Private Browsing Mode;Browsing Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SwitchToPBM.KeyCodeTitle;Hardware shortcut switch to the private browsing tab or tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Your first sync may take a while;a Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Sync.FirstTimeMessage.Label;Message displayed when the user syncs for the first time;
;Syncing;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Sync.Syncing.Label;Message displayed when the user's account is syncing with no ellipsis;
;Syncing‚Ä¶;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Sync.SyncingEllipsis.Label;Message displayed when the user's account is syncing with ellipsis at the end;
;Bookmarks;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Bookmark.Title;The Bookmark sync component, used in SyncState.Partial.Title;
;Remote Clients;Remote Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Clients.Title;The Remote Clients sync component, used in SyncState.Partial.Title;
;Syncing has failed;has Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Failed.Title;Title for Sync status message when synchronization failed to complete;
;History;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.History.Title;The History sync component, used in SyncState.Partial.Title;
;Logins;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Logins.Title;The Logins sync component, used in SyncState.Partial.Title;
;Sync is unavailable;is Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.NotStarted.Title;Title for Sync status message when Sync failed to start.;
;Sync is offline;is Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Offline.Title;Title for Sync status message when Sync failed due to being offline;
;Sync is experiencing issues syncing %@;issues Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Partial.Title;Title for Sync status message when a component of Sync failed to complete, where %@ represents the name of the component, i.e. Sync is experiencing issues syncing Bookmarks;
;Tabs;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///SyncState.Tabs.Title;The Tabs sync component, used in SyncState.Partial.Title;
;Show All Tabs;Alle Tabs anzeigen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Tab.ShowTabTray.KeyCodeTitle;Hardware shortcut to open the tab tray from a tab. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Close All Tabs;Alle Tabs schlieﬂen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TabTray.CloseAllTabs.KeyCodeTitle;Hardware shortcut to close all tabs from the tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Close Selected Tab;Selected Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TabTray.CloseTab.KeyCodeTitle;Hardware shortcut to close the selected tab from the tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Open New Tab;New Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TabTray.OpenNewTab.KeyCodeTitle;Hardware shortcut to open a new tab from the tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Open Selected Tab;Selected Daten lˆschen;;False;Shared/Supporting Files/en.lproj/Localizable.strings///TabTray.OpenSelectedTab.KeyCodeTitle;Hardware shortcut open the selected tab from the tab tray. Shown in the Discoverability overlay when the hardware Command Key is held down.;
;Undo;;;False;Shared/Supporting Files/en.lproj/Localizable.strings///Tabs.DeleteAllUndo.Button;The button to undo the delete all tabs;
